tx_id,amount,arrival_time,max_delay,priority
T6,73,0,300,4
T164,2229,0,236,5
T402,1235,1,249,2
T745,193,1,106,4
T281,1773,1,145,5
T735,992,1,178,1
T22,109,2,300,4
T690,2354,2,70,4
T535,424,2,34,3
T838,1362,2,143,3
T18,191,2,300,5
T14,147,2,300,4
T801,2279,3,171,4
T710,1168,3,128,2
T124,1977,4,189,5
T140,558,4,49,2
T966,133,4,208,3
T130,2835,4,239,5
T28,168,5,300,5
T235,1820,6,240,4
T802,168,6,165,3
T33,195,6,300,5
T34,177,6,300,5
T3,85,7,300,4
T776,967,7,78,1
T405,1567,7,232,2
T9,164,7,300,5
T315,2362,7,134,1
T7,179,7,300,4
T31,58,7,300,5
T377,1183,7,167,1
T704,1480,7,232,3
T821,948,8,180,2
T657,1608,8,114,1
T36,85,8,300,4
T12,89,8,300,4
T956,608,8,249,2
T29,192,8,300,4
T665,1906,9,110,4
T397,307,10,231,3
T15,138,11,300,5
T25,140,11,300,4
T40,106,11,300,4
T23,121,12,300,5
T381,2637,12,173,3
T32,118,12,300,4
T842,467,13,120,5
T439,2594,13,198,3
T597,1578,13,171,5
T440,838,14,99,3
T531,1405,14,55,3
T830,2697,15,99,4
T576,684,15,247,5
T391,2927,16,124,2
T738,1275,16,134,2
T17,81,17,300,5
T8,100,17,300,5
T5,158,18,300,4
T560,2749,18,78,3
T305,1962,18,52,3
T650,661,19,212,3
T697,137,19,106,5
T485,333,19,124,3
T27,93,19,300,4
T512,2811,19,116,5
T992,347,20,232,4
T144,1565,20,83,2
T1,78,20,300,4
T493,1114,20,211,4
T24,143,20,300,4
T26,118,21,300,4
T30,133,21,300,4
T4,189,21,300,4
T616,216,21,50,1
T21,108,21,300,5
T558,1392,21,109,5
T137,114,22,115,2
T11,158,22,300,5
T20,67,22,300,4
T549,2703,22,129,3
T955,507,23,190,4
T37,193,23,300,5
T38,199,23,300,5
T736,1835,23,118,1
T385,252,23,107,4
T2,120,23,300,4
T182,1102,23,151,5
T346,1428,23,233,1
T455,1003,23,131,5
T10,51,25,300,4
T630,1288,25,128,5
T16,61,25,300,5
T449,2860,25,50,3
T637,1252,25,156,5
T961,1723,26,190,3
T19,142,26,300,4
T219,1533,26,87,1
T642,2435,26,173,2
T772,1199,26,126,5
T456,131,28,82,3
T35,167,28,300,4
T39,199,28,300,5
T935,2435,30,119,5
T940,1235,30,197,2
T277,2597,30,219,1
T13,136,30,300,4
T799,2630,30,193,5
T714,2835,31,60,4
T556,1974,32,39,3
T950,2289,32,131,2
T498,1450,33,54,5
T578,1066,34,229,3
T797,2996,34,68,1
T427,473,34,242,1
T991,156,34,97,2
T751,513,34,182,1
T234,2172,35,195,3
T443,681,35,219,1
T322,1231,35,227,4
T127,1100,35,124,3
T972,2272,35,174,1
T288,344,36,72,3
T284,2915,36,89,3
T462,1726,36,250,1
T622,2920,37,45,2
T356,1909,37,118,5
T183,1965,37,136,5
T484,1371,37,148,4
T870,1939,37,183,4
T337,2023,38,230,3
T574,2849,38,193,4
T486,2740,39,248,1
T851,1579,39,94,2
T472,2190,39,192,1
T569,1443,40,199,3
T808,1628,40,133,4
T567,1863,40,184,2
T723,2252,41,144,5
T213,2732,42,139,2
T835,1197,42,69,4
T921,2415,42,37,2
T995,2723,42,167,5
T591,2893,44,246,3
T241,1242,44,145,2
T969,519,45,56,3
T693,2771,45,176,2
T468,1888,45,246,1
T444,2272,46,85,4
T396,2814,46,84,5
T843,2545,47,183,3
T428,1868,47,54,3
T812,1760,47,127,4
T180,1062,47,202,3
T136,2698,47,138,3
T506,2746,47,201,4
T888,1894,49,214,4
T393,2908,50,124,5
T49,9310,50,25,1
T48,13140,50,25,1
T879,1159,50,86,5
T44,14191,50,25,1
T41,12174,50,25,1
T42,12042,50,25,1
T43,8744,50,25,1
T45,8385,50,25,1
T50,14488,50,25,1
T46,8898,50,25,1
T47,9252,50,25,1
T125,400,51,167,2
T335,2254,51,146,1
T688,1792,51,114,4
